,Mission Date,Theater of Operations,lat1,long1,lat2,long2,year
0,8/15/1943,MTO,37.131022,14.321464,38.22,15.37,1943
2,8/15/1943,MTO,37.131022,14.321464,39.27,16.25,1943
3,8/15/1943,MTO,37.131022,14.321464,38.43,15.9,1943
8,8/15/1943,MTO,37.131022,14.321464,38.23,15.72,1943
9,8/15/1943,MTO,37.131022,14.321464,38.43,15.9,1943
95,8/16/1943,MTO,37.131022,14.321464,38.2,15.65,1943
301,8/16/1943,MTO,37.131022,14.321464,39.27,16.25,1943
644,8/17/1943,MTO,37.131022,14.321464,39.27,16.25,1943
645,8/17/1943,MTO,37.131022,14.321464,44.1,9.83,1943
646,8/17/1943,MTO,37.131022,14.321464,38.92,16.25,1943
996,8/18/1943,MTO,37.131022,14.321464,38.27,15.8,1943
997,8/18/1943,MTO,37.131022,14.321464,39.85,15.78,1943
999,8/18/1943,MTO,37.131022,14.321464,40.78,13.43,1943
1044,7/30/1944,PTO,-6.244444,155.38388899999998,-6.2,155.56666669999998,1944
1203,8/18/1943,MTO,37.131022,14.321464,38.97,16.3,1943
1204,8/18/1943,MTO,36.649608,10.121936,39.08,17.13,1943
1236,8/19/1943,MTO,37.131022,14.321464,38.9,16.62,1943
1237,8/19/1943,MTO,37.131022,14.321464,39.27,16.25,1943
1556,8/20/1943,MTO,37.131022,14.321464,39.27,16.25,1943
1590,8/21/1943,MTO,36.649608,10.121936,39.08,17.13,1943
1838,8/22/1943,MTO,37.131022,14.321464,40.67,14.73,1943
1886,8/23/1943,MTO,37.131022,14.321464,40.62,14.97,1943
1887,8/23/1943,MTO,37.131022,14.321464,40.62,14.97,1943
1888,8/23/1943,MTO,37.131022,14.321464,40.6,15.07,1943
2014,2/18/1945,PTO,-6.244444,155.38388899999998,-5.5,154.9,1945
2029,2/18/1945,PTO,-6.244444,155.38388899999998,-5.5,154.9,1945
2139,8/24/1943,MTO,37.131022,14.321464,39.8,16.2,1943
2140,8/24/1943,MTO,37.131022,14.321464,39.78,16.47,1943
2142,8/24/1943,MTO,37.131022,14.321464,40.07,15.63,1943
2144,8/24/1943,MTO,37.131022,14.321464,40.07,15.63,1943
2145,8/24/1943,MTO,36.649608,10.121936,39.08,17.13,1943
2771,8/27/1943,MTO,38.216681,15.233294,39.78,16.47,1943
2773,8/27/1943,MTO,38.216681,15.233294,39.35,16.05,1943
2774,8/27/1943,MTO,38.216681,15.233294,39.78,16.47,1943
2775,8/27/1943,MTO,38.216681,15.233294,41.07,14.33,1943
2780,8/27/1943,MTO,38.216681,15.233294,39.5,15.93,1943
2781,8/27/1943,MTO,36.649608,10.121936,39.08,17.13,1943
3094,8/28/1943,MTO,38.216681,15.233294,38.9,16.62,1943
3096,8/28/1943,MTO,38.216681,15.233294,38.9,16.62,1943
3099,8/28/1943,MTO,38.216681,15.233294,39.27,16.25,1943
3200,8/28/1943,MTO,38.216681,15.233294,39.27,16.25,1943
3201,8/28/1943,MTO,38.216681,15.233294,40.97,16.18,1943
3204,8/28/1943,MTO,38.216681,15.233294,39.8,16.2,1943
3205,8/28/1943,MTO,38.216681,15.233294,39.8,16.2,1943
3282,8/29/1943,MTO,38.216681,15.233294,39.27,16.25,1943
3283,8/29/1943,MTO,38.216681,15.233294,38.75,16.17,1943
3285,8/29/1943,MTO,38.216681,15.233294,40.77,14.43,1943
3528,8/30/1943,MTO,38.216681,15.233294,40.07,15.63,1943
3529,8/30/1943,MTO,38.216681,15.233294,38.92,16.25,1943
3534,8/30/1943,MTO,38.216681,15.233294,38.9,16.62,1943
3729,8/2/1944,MTO,42.55,9.484722,42.2,12.72,1944
3808,8/31/1943,MTO,38.216681,15.233294,39.27,16.25,1943
3809,8/31/1943,MTO,38.216681,15.233294,39.5,15.93,1943
3810,8/31/1943,MTO,38.216681,15.233294,40.07,15.63,1943
3818,8/31/1943,MTO,38.216681,15.233294,40.07,15.63,1943
3819,8/31/1943,MTO,38.216681,15.233294,39.5,15.93,1943
3820,8/31/1943,MTO,36.649608,10.121936,40.53,17.42,1943
4147,9/1/1943,MTO,38.216681,15.233294,39.27,16.25,1943
4156,9/1/1943,MTO,38.216681,15.233294,41.1,14.2,1943
4405,9/2/1943,MTO,38.216681,15.233294,38.97,16.3,1943
4408,9/2/1943,MTO,38.216681,15.233294,38.92,16.25,1943
4409,9/2/1943,MTO,38.216681,15.233294,38.9,16.62,1943
4731,9/3/1943,MTO,38.216681,15.233294,39.27,16.25,1943
4732,9/3/1943,MTO,38.216681,15.233294,40.83,16.23,1943
4738,9/3/1943,MTO,36.649608,10.121936,40.53,17.42,1943
5063,9/4/1943,MTO,38.216681,15.233294,39.27,16.25,1943
5070,9/4/1943,MTO,38.216681,15.233294,39.27,16.25,1943
5927,9/7/1943,MTO,36.649608,10.121936,40.4,17.63,1943
7313,9/10/1943,MTO,36.649608,10.121936,40.63,15.8,1943
7657,9/12/1943,MTO,38.216681,15.233294,39.27,16.25,1943
7658,9/12/1943,MTO,40.421181,15.00565,40.07,15.63,1943
7660,9/12/1943,MTO,38.216681,15.233294,39.27,16.25,1943
7946,9/13/1943,MTO,40.421181,15.00565,40.57,15.43,1943
7947,9/13/1943,MTO,38.216681,15.233294,39.27,16.25,1943
7951,9/13/1943,MTO,40.421181,15.00565,40.67,14.73,1943
7952,9/13/1943,MTO,40.421181,15.00565,40.67,14.73,1943
7953,9/13/1943,MTO,40.421181,15.00565,40.57,15.43,1943
7954,9/13/1943,MTO,36.649608,10.121936,40.63,15.8,1943
8205,9/14/1943,MTO,38.216681,15.233294,39.27,16.25,1943
8206,9/14/1943,MTO,40.421181,15.00565,40.9,14.78,1943
8208,9/14/1943,MTO,40.421181,15.00565,40.62,14.97,1943
8219,9/14/1943,MTO,40.421181,15.00565,40.9,14.78,1943
8220,9/14/1943,MTO,40.421181,15.00565,40.62,14.97,1943
8221,9/14/1943,MTO,40.421181,15.00565,40.83,15.02,1943
8222,9/14/1943,MTO,40.421181,15.00565,40.63,15.8,1943
8223,9/14/1943,MTO,40.421181,15.00565,40.57,15.43,1943
8224,9/14/1943,MTO,36.649608,10.121936,40.63,15.8,1943
8502,9/15/1943,MTO,38.216681,15.233294,39.27,16.25,1943
8503,9/15/1943,MTO,40.421181,15.00565,40.62,14.97,1943
8508,9/15/1943,MTO,40.421181,15.00565,40.6,15.07,1943
8510,9/15/1943,MTO,40.421181,15.00565,40.57,15.43,1943
8511,9/15/1943,MTO,40.421181,15.00565,40.85,15.4,1943
8522,9/15/1943,MTO,40.421181,15.00565,40.73,14.62,1943
8523,9/15/1943,MTO,40.421181,15.00565,45.13,9.12,1943
8524,9/15/1943,MTO,40.421181,15.00565,41.1,14.12,1943
8525,9/15/1943,MTO,40.421181,15.00565,40.9,14.78,1943
8526,9/15/1943,MTO,40.421181,15.00565,40.67,14.0,1943
8527,9/15/1943,MTO,40.421181,15.00565,40.83,15.02,1943
8528,9/15/1943,MTO,40.421181,15.00565,40.77,14.43,1943
8529,9/15/1943,MTO,40.421181,15.00565,40.6,15.07,1943
8530,9/15/1943,MTO,36.649608,10.121936,40.63,15.8,1943
8872,9/15/1943,MTO,36.649608,10.121936,40.63,15.8,1943
8881,9/16/1943,MTO,40.421181,15.00565,40.6,15.07,1943
8883,9/16/1943,MTO,40.421181,15.00565,40.7,14.7,1943
8885,9/16/1943,MTO,38.216681,15.233294,39.27,16.25,1943
8886,9/16/1943,MTO,38.216681,15.233294,38.13,15.22,1943
8895,9/16/1943,MTO,40.421181,15.00565,40.8,14.6,1943
8896,9/16/1943,MTO,40.421181,15.00565,40.6,15.07,1943
8897,9/16/1943,MTO,40.421181,15.00565,40.7,14.7,1943
8898,9/16/1943,MTO,40.421181,15.00565,40.6,15.07,1943
8899,9/16/1943,MTO,36.649608,10.121936,40.63,15.8,1943
9188,9/17/1943,MTO,40.421181,15.00565,40.62,14.97,1943
9189,9/17/1943,MTO,40.421181,15.00565,40.62,14.97,1943
9190,9/17/1943,MTO,38.216681,15.233294,39.27,16.25,1943
9191,9/17/1943,MTO,40.421181,15.00565,40.8,14.6,1943
9193,9/17/1943,MTO,40.421181,15.00565,40.78,15.22,1943
9195,9/17/1943,MTO,40.421181,15.00565,40.62,14.97,1943
9196,9/17/1943,MTO,40.421181,15.00565,40.6,15.07,1943
9197,9/17/1943,MTO,40.421181,15.00565,40.6,15.07,1943
9198,9/17/1943,MTO,40.421181,15.00565,40.9,14.78,1943
9199,9/17/1943,MTO,40.421181,15.00565,40.82,14.83,1943
9461,9/18/1943,MTO,40.421181,15.00565,40.62,14.97,1943
9462,9/18/1943,MTO,38.216681,15.233294,39.27,16.25,1943
9464,9/18/1943,MTO,40.421181,15.00565,40.8,14.6,1943
9466,9/18/1943,MTO,40.421181,15.00565,40.63,15.8,1943
9467,9/18/1943,MTO,40.421181,15.00565,40.57,15.43,1943
9470,9/18/1943,MTO,40.421181,15.00565,40.62,14.97,1943
9471,9/18/1943,MTO,40.421181,15.00565,40.9,14.78,1943
9472,9/18/1943,MTO,40.421181,15.00565,40.42,14.62,1943
9743,9/19/1943,MTO,40.421181,15.00565,41.22,16.25,1943
9745,9/19/1943,MTO,40.421181,15.00565,40.85,15.25,1943
9751,9/19/1943,MTO,40.421181,15.00565,42.8,10.13,1943
9754,9/19/1943,MTO,40.421181,15.00565,41.22,16.25,1943
9764,9/19/1943,MTO,40.421181,15.00565,40.63,15.8,1943
9765,9/19/1943,MTO,40.421181,15.00565,40.78,15.22,1943
9766,9/19/1943,MTO,40.421181,15.00565,40.85,15.25,1943
9776,9/20/1943,MTO,40.421181,15.00565,40.67,14.73,1943
10035,9/21/1943,MTO,40.421181,15.00565,40.83,15.02,1943
10319,9/22/1943,MTO,40.497397,14.943019,40.73,14.62,1943
10323,9/22/1943,MTO,40.497397,14.943019,40.73,14.62,1943
10333,9/22/1943,MTO,40.421181,15.00565,40.9,14.78,1943
10616,9/22/1943,MTO,36.649608,10.121936,36.47,28.33,1943
10624,9/23/1943,MTO,40.421181,15.00565,40.12,15.83,1943
10630,9/23/1943,MTO,40.497397,14.943019,40.73,14.62,1943
10816,2/26/1945,PTO,-6.244444,155.38388899999998,-6.65,156.43333330000002,1945
10817,2/26/1945,PTO,-6.244444,155.38388899999998,-6.65,156.43333330000002,1945
10830,2/26/1945,PTO,-6.244444,155.38388899999998,-6.65,156.43333330000002,1945
10936,9/24/1943,MTO,40.497397,14.943019,40.73,14.62,1943
10937,9/24/1943,MTO,40.497397,14.943019,40.73,14.75,1943
10940,9/24/1943,MTO,40.497397,14.943019,45.05,11.0,1943
11101,9/25/1943,MTO,40.497397,14.943019,41.48,13.08,1943
11102,9/25/1943,MTO,40.497397,14.943019,45.05,11.0,1943
11103,9/25/1943,MTO,40.497397,14.943019,40.73,14.62,1943
11195,9/26/1943,EAST AFRICA,36.649608,10.121936,41.25,13.62,1943
11440,9/27/1943,MTO,40.497397,14.943019,42.02,11.95,1943
11743,9/28/1943,MTO,40.497397,14.943019,41.13,14.75,1943
11744,9/28/1943,MTO,40.497397,14.943019,44.73,9.37,1943
11758,9/29/1943,EAST AFRICA,36.649608,10.121936,41.25,13.62,1943
11787,9/30/1943,MTO,40.497397,14.943019,41.02,13.92,1943
11794,9/30/1943,EAST AFRICA,36.649608,10.121936,41.25,13.62,1943
12039,10/1/1943,MTO,40.497397,14.943019,41.72,14.3,1943
12040,10/1/1943,MTO,40.497397,14.943019,41.12,13.87,1943
12042,10/1/1943,MTO,40.497397,14.943019,42.6,11.3,1943
12337,10/2/1943,MTO,40.497397,14.943019,41.02,13.92,1943
12340,10/2/1943,MTO,40.497397,14.943019,41.02,13.92,1943
12348,10/2/1943,EAST AFRICA,36.649608,10.121936,41.25,13.62,1943
12349,10/2/1943,EAST AFRICA,36.649608,10.121936,41.1,14.12,1943
12667,10/3/1943,MTO,36.649608,10.121936,43.18,16.62,1943
12672,10/4/1943,MTO,40.497397,14.943019,41.0,15.0,1943
13221,10/6/1943,MTO,40.497397,14.943019,42.0,13.0,1943
13226,10/6/1943,EAST AFRICA,36.649608,10.121936,42.77,11.13,1943
14130,10/10/1943,EAST AFRICA,36.649608,10.121936,41.27,13.25,1943
14427,10/12/1943,MTO,36.649608,10.121936,43.18,16.62,1943
14438,10/13/1943,MTO,40.608447,14.982760999999998,40.98,14.4,1943
14439,10/13/1943,MTO,40.421181,15.00565,40.0,13.0,1943
14445,10/13/1943,MTO,40.608447,14.982760999999998,41.02,13.92,1943
14455,10/13/1943,MTO,40.608447,14.982760999999998,45.6,7.8,1943
14458,10/13/1943,MTO,40.608447,14.982760999999998,45.6,7.8,1943
14469,10/14/1943,MTO,40.608447,14.982760999999998,40.98,14.4,1943
14470,10/14/1943,MTO,40.608447,14.982760999999998,41.22,14.22,1943
14479,10/14/1943,EAST AFRICA,TUNISIA,36.649608,1108.0,42.55,1943
14721,10/14/1943,MTO,36.649608,10.121936,42.45,11.22,1943
14730,10/15/1943,MTO,40.608447,14.982760999999998,41.32,14.28,1943
14736,10/15/1943,MTO,40.608447,14.982760999999998,41.2,14.12,1943
14758,10/16/1943,MTO,40.608447,14.982760999999998,41.32,14.28,1943
14762,10/16/1943,MTO,40.608447,14.982760999999998,41.2,14.03,1943
14763,10/16/1943,MTO,40.608447,14.982760999999998,41.2,14.03,1943
14769,10/16/1943,EAST AFRICA,36.649608,10.121936,41.9,12.47,1943
15013,10/17/1943,MTO,40.608447,14.982760999999998,40.87,14.3,1943
15038,10/18/1943,MTO,40.608447,14.982760999999998,41.48,14.03,1943
15077,10/19/1943,MTO,40.608447,14.982760999999998,41.3,14.25,1943
15079,10/19/1943,MTO,40.421181,15.00565,39.27,16.25,1943
15080,10/19/1943,MTO,40.608447,14.982760999999998,41.6,14.23,1943
15084,10/19/1943,MTO,40.608447,14.982760999999998,41.33,14.17,1943
15317,10/20/1943,MTO,40.421181,15.00565,39.27,16.25,1943
15319,10/20/1943,MTO,40.421181,15.00565,38.08,16.53,1943
15331,10/20/1943,MTO,40.421181,15.00565,40.28,18.15,1943
15332,10/20/1943,MTO,40.608447,14.982760999999998,41.6,13.6,1943
15338,10/20/1943,EAST AFRICA,36.649608,10.121936,41.0,12.0,1943
15615,10/21/1943,MTO,40.608447,14.982760999999998,41.25,13.75,1943
